2020.04.04.;31;57;66;80;83
2020.03.28.;20;33;39;50;64
2020.03.21.;40;48;59;60;64
2020.03.14.;12;20;30;41;77
2020.03.07.;37;52;54;81;89
2020.02.29.;13;15;17;23;37
2020.02.22.;16;31;58;75;77
2020.02.15.;28;41;52;57;86
2020.02.08.;6;22;49;64;65
2020.02.01.;5;18;63;76;80
2020.01.25.;3;8;23;51;56
2020.01.18.;18;23;56;57;73
2020.01.11.;48;54;63;82;88
2020.01.04.;4;27;53;67;68
2019.12.28.;31;44;46;71;84
2019.12.21.;2;29;53;70;82
2019.12.14.;28;34;54;62;84
2019.12.07.;15;17;63;72;90
2019.11.30.;9;15;29;49;83
2019.11.23.;5;20;67;71;83
2019.11.16.;17;19;37;61;70
2019.11.09.;4;6;10;45;59
2019.11.02.;11;12;49;64;68
2019.10.26.;17;20;41;45;85
2019.10.19.;2;14;24;36;54
2019.10.12.;9;29;56;70;82
2019.10.05.;14;33;60;78;83
2019.09.28.;14;31;39;41;71
2019.09.21.;35;59;74;83;89
2019.09.14.;40;62;63;75;83
2019.09.07.;4;10;21;45;81
2019.08.31.;28;41;43;44;46
2019.08.24.;4;12;16;39;90
2019.08.17.;1;15;61;79;87
2019.08.10.;24;37;40;43;50
2019.08.03.;15;21;67;75;81
2019.07.27.;16;25;26;50;75
2019.07.20.;12;21;24;33;88
2019.07.13.;1;6;27;28;54
2019.07.06.;27;32;37;73;85
2019.06.29.;4;10;24;55;77
2019.06.22.;1;12;16;43;56
2019.06.15.;22;28;59;72;89
2019.06.08.;26;31;35;65;87
2019.06.01.;1;23;29;58;84
2019.05.25.;22;33;47;51;66
2019.05.18.;1;15;25;46;63
2019.05.11.;6;22;71;88;90
2019.05.04.;11;30;36;67;83
2019.04.27.;1;14;68;75;76
2019.04.20.;14;21;53;60;90
2019.04.13.;6;27;31;47;84
2019.04.06.;17;45;53;86;87
2019.03.30.;15;20;22;28;65
2019.03.23.;7;17;42;53;76
2019.03.16.;4;13;58;74;79
2019.03.09.;3;27;72;75;78
2019.03.02.;32;55;61;73;88
2019.02.23.;11;27;46;48;87
2019.02.16.;37;38;58;59;68
2019.02.09.;2;8;18;25;65
2019.02.02.;8;24;38;68;78
2019.01.26.;45;67;79;86;88
2019.01.19.;3;17;34;50;89
2019.01.12.;5;7;36;76;82
2019.01.05.;4;8;25;57;65
2018.12.29.;3;18;43;55;74
2018.12.22.;16;26;28;46;49
2018.12.15.;4;7;47;53;75
2018.12.08.;1;25;26;50;66
2018.12.01.;24;45;54;65;76
2018.11.24.;12;19;20;43;61
2018.11.17.;3;64;73;78;84
2018.11.10.;15;18;22;33;90
2018.11.03.;15;70;76;77;87
2018.10.27.;3;8;49;68;76
2018.10.20.;9;13;27;81;87
2018.10.13.;9;20;44;50;70
2018.10.06.;6;22;28;42;49
2018.09.29.;13;25;35;39;44
2018.09.22.;38;43;48;53;69
2018.09.15.;14;28;30;52;84
2018.09.08.;1;3;43;67;68
2018.09.01.;4;12;31;59;61
2018.08.25.;28;29;48;65;86
2018.08.18.;7;27;42;66;80
2018.08.11.;17;37;43;66;68
2018.08.04.;4;27;30;41;56
2018.07.28.;1;42;48;86;88
2018.07.21.;10;13;15;31;38
2018.07.14.;4;12;24;68;84
2018.07.07.;4;17;46;78;83
2018.06.30.;19;41;43;61;75
2018.06.23.;21;32;61;65;77
2018.06.16.;38;39;40;73;83
2018.06.09.;20;21;25;39;57
2018.06.02.;10;13;26;64;67
2018.05.26.;15;26;51;74;89
2018.05.19.;3;43;59;62;69
2018.05.12.;4;18;56;71;80
2018.05.05.;5;11;18;67;89
2018.04.28.;11;23;37;55;72
2018.04.21.;4;14;27;63;65
2018.04.14.;19;27;31;37;81
2018.04.07.;25;36;38;79;84
2018.03.31.;13;14;16;29;43
2018.03.24.;22;28;31;49;78
2018.03.17.;1;23;42;62;71
2018.03.10.;12;60;67;70;85
2018.03.03.;28;50;77;78;85
2018.02.24.;9;11;32;40;55
2018.02.17.;10;32;42;43;46
2018.02.10.;59;64;67;73;74
2018.02.03.;3;20;53;79;88
2018.01.27.;39;40;68;72;73
2018.01.20.;1;5;34;45;46
2018.01.13.;15;45;62;78;79
2018.01.06.;17;24;37;49;82
2017.12.30.;1;8;17;50;77
2017.12.23.;55;67;70;71;73
2017.12.16.;1;4;31;40;83
2017.12.09.;16;39;42;45;78
2017.12.02.;1;3;23;58;70
2017.11.25.;1;20;26;54;55
2017.11.18.;1;16;47;61;75
2017.11.11.;5;18;47;61;85
2017.11.04.;18;22;50;54;79
2017.10.28.;15;41;50;71;76
2017.10.21.;5;32;47;62;88
2017.10.14.;1;21;35;42;90
2017.10.07.;8;38;62;69;70
2017.09.30.;10;18;83;87;89
2017.09.23.;14;58;59;78;85
2017.09.16.;34;43;51;67;80
2017.09.09.;18;23;54;63;82
2017.09.02.;27;31;47;87;89
2017.08.26.;34;36;59;69;90
2017.08.19.;3;7;19;39;50
2017.08.12.;21;33;68;75;89
2017.08.05.;7;8;25;29;76
2017.07.29.;39;46;47;78;85
2017.07.22.;22;30;35;61;71
2017.07.15.;1;9;25;73;89
2017.07.08.;33;54;66;68;72
2017.07.01.;7;31;34;55;60
2017.06.24.;5;9;52;59;85
2017.06.17.;21;43;62;66;84
2017.06.10.;6;44;46;55;81
2017.06.03.;21;53;59;71;86
2017.05.27.;15;24;35;53;71
2017.05.20.;48;56;58;65;70
2017.05.13.;5;34;45;54;55
2017.05.06.;6;7;46;65;88
2017.04.29.;5;31;41;44;63
2017.04.22.;47;48;56;67;90
2017.04.15.;58;59;71;85;89
2017.04.08.;14;43;49;76;85
2017.04.01.;7;12;32;38;82
2017.03.25.;2;3;35;41;79
2017.03.18.;1;4;59;65;85
2017.03.11.;1;4;40;49;67
2017.03.04.;3;28;37;44;46
2017.02.25.;10;12;13;64;79
2017.02.18.;51;61;64;74;79
2017.02.11.;3;5;13;62;87
2017.02.04.;4;39;49;60;62
2017.01.28.;3;19;64;66;77
2017.01.21.;17;20;59;78;81
2017.01.14.;3;6;67;72;76
2017.01.07.;9;11;43;57;88
2017.01.01.;25;42;45;52;86
2016.12.23.;8;35;60;67;84
2016.12.17.;26;27;30;73;85
2016.12.10.;10;14;25;51;71
2016.12.03.;7;63;69;76;85
2016.11.26.;33;43;58;60;77
2016.11.19.;8;9;19;37;43
2016.11.12.;1;11;45;67;78
2016.11.05.;7;53;65;73;87
2016.10.29.;53;55;67;79;80
2016.10.22.;14;34;43;52;78
2016.10.15.;17;22;47;73;90
2016.10.08.;23;36;38;57;76
2016.10.01.;1;23;37;49;60
2016.09.24.;8;29;59;77;89
2016.09.17.;1;9;17;18;89
2016.09.10.;9;16;78;83;86
2016.09.03.;4;13;47;76;78
2016.08.27.;22;29;53;62;74
2016.08.20.;39;41;46;47;60
2016.08.13.;13;14;21;34;84
2016.08.06.;15;24;27;29;40
2016.07.30.;16;55;60;67;76
2016.07.23.;32;43;60;74;79
2016.07.16.;10;42;60;78;82
2016.07.09.;40;47;52;57;83
2016.07.02.;1;9;11;19;41
2016.06.25.;29;54;63;78;83
2016.06.18.;2;39;69;72;74
2016.06.11.;3;7;32;41;58
2016.06.04.;22;42;62;82;84
2016.05.28.;4;27;41;72;88
2016.05.21.;9;10;36;50;78
2016.05.14.;6;18;51;59;64
2016.05.07.;22;24;43;64;90
2016.04.30.;43;45;56;66;82
2016.04.23.;24;36;44;63;68
2016.04.16.;8;33;57;62;66
2016.04.09.;5;22;25;67;87
2016.04.02.;1;23;27;42;84
2016.03.26.;16;38;54;84;90
2016.03.19.;15;36;45;58;72
2016.03.12.;28;30;35;56;84
2016.03.05.;38;39;52;79;85
2016.02.27.;27;35;51;57;59
2016.02.20.;24;43;44;48;58
2016.02.13.;11;15;23;43;87
2016.02.06.;11;15;26;39;78
2016.01.30.;48;55;62;69;80
2016.01.23.;11;27;55;68;80
2016.01.16.;7;18;53;54;85
2016.01.09.;3;50;52;59;74
2016.01.02.;27;30;35;56;68
2015.12.26.;3;9;38;42;85
2015.12.19.;15;21;78;87;89
2015.12.12.;34;38;45;62;90
2015.12.05.;22;24;35;63;68
2015.11.28.;9;50;72;76;89
2015.11.21.;31;53;57;60;83
2015.11.14.;10;25;38;46;50
2015.11.07.;41;45;51;54;86
2015.10.31.;18;24;30;43;79
2015.10.24.;2;18;45;51;70
2015.10.17.;2;5;17;24;72
2015.10.10.;14;54;60;78;81
2015.10.03.;5;10;23;51;58
2015.09.26.;10;57;70;75;87
2015.09.19.;4;38;42;64;74
2015.09.12.;8;50;69;72;87
2015.09.05.;20;26;38;41;58
2015.08.29.;1;19;70;80;81
2015.08.22.;17;20;32;76;84
2015.08.15.;2;13;67;70;86
2015.08.08.;33;52;67;77;87
2015.08.01.;3;32;50;59;65
2015.07.25.;3;34;46;62;79
2015.07.18.;2;5;37;57;67
2015.07.11.;10;18;26;36;38
2015.07.04.;1;48;61;62;79
2015.06.27.;19;30;43;58;69
2015.06.20.;27;29;47;59;89
2015.06.13.;3;26;28;42;49
2015.06.06.;15;16;36;60;70
2015.05.30.;18;55;56;83;90
2015.05.23.;12;25;30;46;51
2015.05.16.;1;19;20;27;34
2015.05.09.;18;37;44;52;76
2015.05.02.;8;65;67;69;82
2015.04.25.;2;50;55;65;84
2015.04.18.;25;56;57;81;86
2015.04.11.;21;23;29;46;48
2015.04.04.;2;33;38;70;77
2015.03.28.;6;18;35;74;90
2015.03.21.;18;31;36;52;59
2015.03.14.;11;41;42;45;77
2015.03.07.;13;17;19;46;60
2015.02.28.;18;19;22;62;67
2015.02.21.;1;45;64;73;86
2015.02.14.;18;31;46;49;85
2015.02.07.;18;27;52;57;73
2015.01.31.;27;35;42;55;71
2015.01.24.;3;50;55;57;58
2015.01.17.;63;68;69;75;86
2015.01.10.;5;19;23;25;67
2015.01.03.;46;54;55;70;85
2014.12.27.;10;11;29;35;48
2014.12.20.;6;7;40;57;67
2014.12.13.;3;4;55;56;69
2014.12.06.;7;19;23;44;66
2014.11.29.;37;45;59;65;76
2014.11.22.;25;38;43;57;72
2014.11.15.;9;19;57;61;62
2014.11.08.;14;30;51;62;78
2014.11.01.;37;62;66;85;90
2014.10.25.;27;49;72;79;81
2014.10.18.;10;17;61;63;73
2014.10.11.;4;31;38;75;89
2014.10.04.;8;14;19;30;34
2014.09.27.;27;32;36;39;57
2014.09.20.;2;7;12;25;76
2014.09.13.;7;39;40;58;68
2014.09.06.;3;16;27;45;81
2014.08.30.;19;53;60;66;67
2014.08.23.;24;36;63;70;84
2014.08.16.;6;52;57;68;86
2014.08.09.;20;28;47;51;71
2014.08.02.;23;60;76;84;86
2014.07.26.;6;15;22;33;44
2014.07.19.;13;21;44;47;52
2014.07.12.;13;47;68;70;86
2014.07.05.;45;52;59;69;81
2014.06.28.;12;26;65;66;83
2014.06.21.;3;35;37;43;52
2014.06.14.;1;11;19;31;37
2014.06.07.;2;3;32;59;73
2014.05.31.;16;27;45;53;70
2014.05.24.;30;55;59;71;80
2014.05.17.;2;27;28;32;90
2014.05.10.;12;38;45;66;76
2014.05.03.;4;7;19;58;63
2014.04.26.;11;16;39;49;74
2014.04.19.;29;40;46;72;90
2014.04.12.;5;20;22;49;70
2014.04.05.;4;20;28;40;53
2014.03.29.;19;20;30;43;65
2014.03.22.;23;26;27;86;87
2014.03.15.;5;10;54;59;80
2014.03.08.;3;26;31;46;66
2014.03.01.;3;59;63;66;84
2014.02.22.;40;44;62;75;84
2014.02.15.;2;10;39;44;68
2014.02.08.;15;39;42;52;55
2014.02.01.;23;32;37;62;79
2014.01.25.;15;18;19;29;39
2014.01.18.;38;43;48;57;74
2014.01.11.;1;12;42;71;85
2014.01.04.;24;42;46;47;81
2013.12.28.;8;14;24;32;54
2013.12.21.;5;15;38;51;76
2013.12.14.;43;50;66;78;80
2013.12.07.;8;24;51;86;87
2013.11.30.;12;30;51;66;73
2013.11.23.;11;14;37;57;58
2013.11.16.;6;13;34;39;51
2013.11.09.;11;59;61;74;80
2013.11.02.;20;43;44;46;55
2013.10.26.;7;31;36;48;66
2013.10.19.;9;17;69;72;85
2013.10.12.;30;31;35;43;54
2013.10.05.;7;25;34;37;46
2013.09.28.;5;31;64;76;86
2013.09.21.;17;21;70;77;83
2013.09.14.;1;15;48;53;62
2013.09.07.;26;66;77;82;87
2013.08.31.;15;24;48;59;65
2013.08.24.;10;12;22;39;68
2013.08.17.;12;25;31;56;57
2013.08.10.;42;44;49;70;78
2013.08.03.;30;31;39;78;83
2013.07.27.;22;59;62;80;90
2013.07.20.;16;30;32;49;73
2013.07.13.;2;13;15;36;69
2013.07.06.;55;68;76;78;81
2013.06.29.;14;27;64;70;85
2013.06.22.;8;12;38;45;85
2013.06.15.;13;15;30;31;41
2013.06.08.;13;26;42;79;84
2013.06.01.;9;30;39;52;75
2013.05.25.;13;50;53;59;70
2013.05.18.;23;26;33;53;60
2013.05.11.;12;37;62;82;83
2013.05.04.;25;39;45;54;65
2013.04.27.;20;23;39;70;78
2013.04.20.;18;33;53;75;89
2013.04.13.;26;39;40;52;53
2013.04.06.;1;30;37;55;82
2013.03.30.;3;45;56;57;86
2013.03.23.;1;15;45;68;70
2013.03.16.;2;12;23;57;78
2013.03.09.;6;18;26;76;77
2013.03.02.;6;15;23;43;68
2013.02.23.;2;3;47;61;67
2013.02.16.;3;19;41;55;61
2013.02.09.;1;31;55;77;88
2013.02.02.;7;14;19;37;44
2013.01.26.;21;33;43;56;79
2013.01.19.;4;20;24;36;39
2013.01.12.;4;12;31;75;85
2013.01.05.;28;47;58;72;75
2012.12.29.;34;41;56;59;61
2012.12.22.;5;15;32;52;83
2012.12.15.;5;16;70;82;85
2012.12.08.;20;31;34;69;84
2012.12.01.;15;33;56;60;76
2012.11.24.;20;26;59;72;75
2012.11.17.;16;24;40;64;73
2012.11.10.;9;16;49;54;68
2012.11.03.;3;15;19;63;89
2012.10.27.;15;18;37;48;72
2012.10.20.;47;51;53;57;63
2012.10.13.;6;23;41;81;85
2012.10.06.;18;28;29;33;59
2012.09.29.;2;12;29;68;86
2012.09.22.;28;38;52;56;65
